"sampledate","depth","wtemp","do_raw","do_sat","chlor_rfu","phyco_rfu","ph","spec_cond","turbidity","fdom_rfu","flag_wtemp","flag_do_raw","flag_do_sat","flag_chlor_rfu","flag_phyco_rfu","flag_ph","flag_spec_cond","flag_turbidity","flag_fdom_rfu"
"2023-06-19",0.34,20.03,11.16,123.2,0.43,0.16,8.61,571.88,1.82,7.7,,,,,,,,,
"2023-06-20",0.41,21.58,12.28,139.6,0.44,0.06,8.67,569.21,1.91,6.35,,,,,,,,,
"2023-06-21",0.41,22.25,12.75,146.8,0.51,0.04,8.68,563.88,4.08,5.62,,,,,,,,,
"2023-06-22",0.39,23.84,11.91,141.3,0.41,0.02,8.63,561.88,1.51,5.86,,,,,,,,,
"2023-06-23",0.36,24.99,12.23,148.3,0.44,0.02,8.62,560.23,2.41,5.7,,,,,,,,,
"2023-06-24",0.33,24.23,13.18,157.5,0.75,0.04,8.63,554.87,1.72,6.51,,,,,,,,,
"2023-06-25",0.24,21.97,11.41,130.7,1.17,0.1,8.58,557.07,2.1,7.15,,,,,,,,,
"2023-06-26",0.27,22.13,10.05,115.4,1.64,0.15,8.58,555.33,2.43,7.18,,,,,,,,,
"2023-06-27",0.34,23.17,9.93,116.6,1.29,0.1,8.59,555.07,1.75,6.66,,,,,,,,,
"2023-06-28",0.34,21.88,9.91,113.3,1.7,0.14,8.57,555.35,1.71,7.36,,,,,,,,,
"2023-06-29",0.31,22.25,11.01,126.9,1.6,0.14,8.65,553.82,1.4,7.01,,,,,,,,,
"2023-06-30",0.34,24.08,11.6,138.2,1.03,0.07,8.68,552.29,1.26,6.51,,,,,,,,,
"2023-07-01",0.32,24.75,11.66,140.7,0.9,0.05,8.67,549.05,1.26,6.33,,,,,,,,,
"2023-07-02",0.3,25.29,11.97,145.8,0.75,0.04,8.69,546.27,1.85,6.18,,,,,,,,,
"2023-07-03",0.34,25.87,12.73,156.8,0.93,0.05,8.72,542.55,4.21,5.95,,,,,,,,,
"2023-07-04",0.35,25.91,12.85,158.4,1.5,0.11,8.74,540.56,1.58,5.95,,,,,,,,,
"2023-07-05",0.35,26.19,12.68,157,1.58,0.14,8.74,536.26,2.56,5.57,,,,,,,,,
"2023-07-06",0.38,25.79,12.08,148.7,1.75,0.21,8.77,531.88,2.02,5.8,,,,,,,,,
"2023-07-07",0.36,25.8,12.67,155.9,1.58,0.11,8.81,526.82,9.81,5.71,,,,,,,,,
"2023-07-08",0.33,25.86,11.96,147.4,1.05,0.06,8.79,527.63,1.17,6.01,,,,,,,,,
"2023-07-09",0.33,26.22,11.51,142.6,1.15,0.08,8.78,528.26,7.31,5.58,,,,,,,,,
"2023-07-10",0.32,25.91,11.8,145.5,1.27,0.09,8.8,526.21,3.23,5.87,,,,,,,,,
"2023-07-11",0.34,25.59,10.76,131.9,1.5,0.12,8.78,526.15,1.7,5.81,,,,,,,,,
"2023-07-12",0.35,23.25,7.52,88.8,1.72,0.18,8.5,538.12,2.31,6.43,,,,,,,,,
"2023-07-13",0.38,22.66,8.3,96.3,2.19,0.38,8.67,529.07,3.39,5.81,,,,,,,,,
"2023-07-19",0.46,24.44,10.12,121.4,0.89,0.28,8.79,528.99,1.83,7.05,,,,,,,,,
"2023-07-20",0.45,23.96,9.54,113.4,0.97,0.33,8.76,529.42,2.84,7.06,,,,,,,,,
"2023-07-21",0.47,24.89,9.79,118.6,1.09,0.24,8.79,526.73,2.69,6.26,,,,,,,,,
"2023-07-22",0.44,24.94,10.39,125.8,1.33,0.19,8.83,523.09,2.42,6.29,,,,,,,,,
"2023-07-23",0.46,25.54,10.04,123.1,1.5,0.18,8.81,522.54,2.16,6.17,,,,,,,,,
"2023-07-24",0.49,26.56,10.71,133.6,1.89,0.17,8.83,522.89,1.89,5.81,,,,,,,,,
"2023-07-25",0.49,26.03,11.13,137.5,1.69,0.13,8.85,521.74,1.65,6.24,,,,,,,,,
"2023-07-26",0.42,25.29,9.63,117.4,1.43,0.22,8.78,523.06,1.86,6.54,,,,,,,,,
"2023-07-27",0.45,26.3,9.98,123.8,0.79,0.16,8.72,523.99,1.67,6.27,,,,,,,,,
"2023-07-28",0.46,25.96,8.9,109.9,0.92,0.2,8.58,524.78,3.23,6.91,,,,,,,,,
"2023-07-29",0.56,26.24,8.91,110.5,0.85,0.17,8.6,516.91,2.22,6.46,,,,,,,,,
"2023-07-30",0.59,26.59,8.78,109.6,0.76,0.15,8.59,521.84,1.79,6.33,,,,,,,,,
"2023-07-31",0.59,26.89,9.06,113.8,0.95,0.16,8.61,523.24,1.65,6.02,,,,,,,,,
"2023-08-01",0.59,26.95,9.85,123.8,1.05,0.14,8.66,521.06,1.67,5.82,,,,,,,,,
"2023-08-02",0.55,26.19,9.28,114.9,1.34,0.28,8.62,523.46,1.93,6.41,,,,,,,,,
"2023-08-03",0.52,26.74,9.91,124,1.13,0.16,8.68,521.12,1.66,5.62,,,,,,,,,
"2023-08-04",0.52,26.87,8.98,112.5,1,0.22,8.63,523.62,1.82,6,,,,,,,,,
"2023-08-05",0.51,25.31,8.19,99.9,1.1,0.4,8.57,525.7,2.01,6.29,,,,,,,,,
"2023-08-06",0.46,25.34,8.6,104.9,1.18,0.38,8.6,527.04,2.15,5.62,,,,,,,,,
"2023-08-07",0.45,25.33,8.69,106,1.32,0.37,8.63,526.39,2.11,4.92,,,,,,,,,
"2023-08-08",0.44,25.79,8.47,104.2,1.54,0.74,8.63,525.53,2.93,4.28,,,,,,,,,
"2023-08-09",0.4,25.77,8.06,99.1,2.53,2.03,8.6,526.07,6.81,3.51,,,,,,,,,
"2023-08-10",0.38,26.3,8.12,100.9,2.7,2.49,8.6,523.92,11.04,2.98,,,,,,,,,
"2023-08-11",0.36,25.96,8.1,99.9,2.42,2.19,8.6,520.93,8.98,3.28,,,,,,,,,
"2023-08-12",0.41,25.63,7.88,96.6,1.85,1.35,8.6,525.83,10.24,3.62,,,,,,,,,
"2023-08-13",0.45,25.2,7.56,92,2.18,1.74,8.58,527.44,8.62,3.67,,,,,,,,,
"2023-08-14",0.47,23.99,7.39,87.9,1.93,0.78,8.53,514.02,4.94,4.07,,,,,,,,,
"2023-08-15",0.53,23.65,8.32,98.4,1.72,0.64,8.57,521.13,4.94,3.67,,,,,,,,,
"2023-08-16",0.47,24.17,8.68,103.7,1.82,0.59,8.71,520.99,3.73,4.59,,,,,,,,,
"2023-08-17",0.4,23.31,8.5,99.8,1.2,0.43,8.78,521.01,3.2,5.68,,,,,,,,,
"2023-08-18",0.48,23.38,8.9,104.7,1.44,0.42,8.8,522.8,1.97,5.09,,,,,,,,,
"2023-08-19",0.44,23.11,8.95,104.8,1.74,0.49,8.79,522.77,1.99,5.76,,,,,,,,,
"2023-08-20",0.49,24.89,9.18,111.1,1.35,0.42,8.79,525.65,1.95,5.67,,,,,,,,,
"2023-08-21",0.54,24.85,9.57,115.8,1.94,0.38,8.82,525.52,1.95,5.6,,,,,,,,,
"2023-08-22",0.51,23.84,9.87,117,2.51,0.55,8.84,525.08,2.09,5.65,,,,,,,,,
"2023-08-23",0.43,25.36,10.03,122.4,2.58,0.62,8.86,526.86,2.43,4.88,,,,,,,,,
"2023-08-24",0.39,26.77,9.59,120,2.67,0.49,8.84,529.39,2.83,4.68,,,,,,,,,
"2023-08-25",0.43,26.54,9.09,113.3,2.62,0.51,8.81,528.59,2.94,5.24,,,,,,,,,
"2023-08-26",0.47,25.52,8.63,105.6,1.67,0.46,8.79,528.87,3.03,5.58,,,,,,,,,
"2023-08-27",0.47,24.85,8.9,107.5,1.38,0.4,8.82,524.75,3.35,5.33,,,,,,,,,
"2023-08-28",0.43,24.94,8.85,107.2,1.58,0.51,8.81,524.6,2.68,5.14,,,,,,,,,
"2023-08-29",0.39,24.89,9.03,109.2,1.5,0.45,8.83,525.28,2.41,5.14,,,,,,,,,
"2023-08-30",0.44,24.35,8.73,104.6,1.5,0.45,8.82,526.09,2.3,5.08,,,,,,,,,
"2023-08-31",0.44,23.73,8.81,104.3,2.14,0.8,8.82,525.48,2.58,5.25,,,,,,,,,
"2023-09-01",0.44,23.28,8.34,98,1.99,0.81,8.78,526.99,2.08,5.45,,,,,,,,,
"2023-09-02",0.39,23.19,8.93,104.7,1.98,0.67,8.81,526.05,2.08,5.82,,,,,,,,,
"2023-09-03",0.34,23.46,8.73,102.9,1.52,0.35,8.79,527.53,2.23,5.8,,,,,,,,,
"2023-09-04",0.32,23.78,8.73,103.5,1.63,0.31,8.78,528.61,2.33,5.82,,,,,,,,,
"2023-09-05",0.31,23.79,8.68,102.8,1.5,0.3,8.78,528.44,2.26,5.86,,,,,,,,,
"2023-09-06",0.29,23.47,8.38,98.7,1.6,0.36,8.76,528.88,2.4,5.84,,,,,,,,,
"2023-09-07",0.35,23.05,8.66,101.2,1.2,0.4,8.78,528.72,2.15,5.74,,,,,,,,,
"2023-09-08",0.39,22.72,8.77,101.8,1.43,0.4,8.8,528.79,2.25,5.8,,,,,,,,,
"2023-09-09",0.41,23.28,8.73,102.5,1.45,0.52,8.78,529.67,3.18,5.69,,,,,,,,,
"2023-09-10",0.39,23.12,8.83,103.3,1.32,0.35,8.79,529.57,2.41,5.86,,,,,,,,,
"2023-09-11",0.39,22.62,8.57,99.3,1.46,0.41,8.76,529.81,2.26,5.9,,,,,,,,,
